ID,Latin_Name,Common_Name,Plant_Type,Bloom_Time,Size_at_Maturity,Suitable_Site_Conditions,Soil_Type,Water_Needs,Appropriate_Location,Additional_Characteristices_Notes,Humidity_Level_Min,Humidity_Level_Max,Temperature_Level_Min,Temperature_Level_Max,Water_Level_Min,Water_Level_Max,Light_Level_Min,Light_Level_Max
264,Quercus suber,Cork Oak,Tree (evergreen),,> 24 ft,Sun,,Low,Sidewalk;Garden,"Needs a large basin, wide sidewalk.",,,,,100,350,500,800
265,Ranunculus californicus,California Buttercup,Perennial,Spring;Winter,1-3 ft,Sun;Part Shade,Clay;Loam,None,Garden;Roof,,,,,,0,0,350,800
266,Ribes sanguineum var. glutinosum,Pink Flowering Currant,Shrub (deciduous),Spring;Winter,4-6 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Sidewalk;Garden,,,,,,0,0,350,800
267,Rosa californica,California Wild Rose,Shrub (deciduous),Spring;Summer,7-12 ft,Sun;Part shade,Clay;Loam;Sand,Low,Garden;Roof,,,,,,100,350,,
268,Rosa gymnocarpa,Wood Rose/Dwarf Rose,Shrub (deciduous),Spring,1-3 ft,Sun;Part Shade,Clay;Loam,Low,Garden,,,,,,100,350,350,800
269,Rubus ursinus,California Blackberry,Shrub (deciduous),Spring;Winter,4-6 ft,Sun;Part Shade,Clay;Loam;Sand,None,Garden;Roof,With espalier can make attractive feature and good habitat. Attracts Nuttall's White-crowned Sparrow and Red Admiral (Vanessa atalanta).,,,,,0,0,350,800
270,Rumex fueginus,Golden Dock,Perennial,Spring;Summer,1-3 ft,Sun;Part Shade,Clay;Loam,Moderate,Garden,,,,,,350,600,350,800
271,Rumex occidentalis,Western Dock,Perennial,Spring;Summer,4-6 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Garden,,,,,,350,600,350,800
272,Salix lasiandra,Yellow Willow,Tree (deciduous),Spring,> 24 ft,Sun,Clay;Loam;Sand,Moderate,Garden,Atrracts Mourning Cloak (Nymphalis antiopa) and Western Tiger Swallowtail (Papilio rutulus).,,,,,350,600,500,800
273,Salix lasiolepis,Arroyo Willow,Tree (deciduous),Spring;Winter,> 24 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden,Atrracts Mourning Cloak (Nymphalis antiopa) and Western Tiger Swallowtail (Papilio rutulus).,,,,,100,350,350,800
274,Salix lutea,Yellow Willow,Shrub (deciduous),Spring,13-24 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Garden,"Attracts Dreamy Duskywing (Erynnis icelus), Viceroy (Limenitis archippus), Lorquin's Admiral (Limenitis lorquini), Weidemeyer's Admiral (Limenitis weidemeyerii), Mourning Cloak (Nymphalis antiopa), Western Tiger Swallowtail (Papilio rutulus).",,,,,350,600,350,800
275,Salvia apiana,California White Sage,Shrub (evergreen),Spring;Summer,4-6 ft,Sun,Clay;Loam;Sand,None,Garden;Sidewalk;Roof,,,,,,0,0,500,800
276,Salvia clevelandii,Cleveland Sage,Shrub (evergreen),Spring;Summer,4-6 ft,Sun,Clay;Sand,None,Garden;Sidewalk;Roof,Very fragrant.,,,,,0,0,500,800
277,Salvia leucophylla,Coast Purple Sage,Shrub (evergreen),Spring,4-6 ft,Sun,Clay;Loam;Sand;Rock,None,Garden;Sidewalk;Roof,,,,,,0,0,500,800
278,Salvia sonomensis,Creeping Sage,Perennial,Spring;Summer,4-6 ft,Sun,Clay;Sand,None,Garden;Sidewalk;Roof,Attracts Anna's Hummingbird.,,,,,0,0,500,800
279,Salvia spathacea,Hummingbird Sage,Perennial,Spring;Summer;Winter,1-3 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden;Sidewalk;Roof,Attracts Anna's Hummingbird.,,,,,0,0,350,800
280,Sambucus nigra ssp. cerulea,Blue Elderberry,Shrub (deciduous),Spring;Summer,13-24 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden,"Plant on the east side. Off-white flowers in spring, blue fruits in early summer. Attracts quail, thrashers, grosbeaks, woodpeckers, orioles, house finshes, and orange-crowned warblers.",,,,,100,350,350,800
281,Sambucus racemosa var. racemosa,Red Elderberry,Shrub (deciduous),Summer,13-24 ft,Part shade;Shade,Loam;Clay,Low,Garden,Plant on the west side.,,,,,100,350,,
282,Schoenoplectus acutus var. occidentalis,Tule,Perennial,Spring;Summer,4-6 ft,Sun,Loam;Sand,Moderate,Garden,,,,,,350,600,500,800
283,Schoenoplectus californicus,California Bulrush,Perennial,Spring,4-6 ft,Sun,Loam;Sand,Moderate,Garden,,,,,,350,600,500,800
284,Schoenoplectus pungens var. badius,Common Threesquare,Perennial,Spring;Summer,4-6 ft,Sun,Clay;Loam;Sand,Moderate,Garden,,,,,,350,600,500,800
285,Scrophularia californica,California Bee Plant,Perennial,Spring;Winter,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,None,Garden;Roof,Attracts Variable Checkerspot (Euphydryas chalcedona) and Common Buckeye (Junonia coenia).,,,,,0,0,350,800
286,Sedum spathulifolium,Broadleaf Stonecrop,Succulent,Spring;Summer,< 1 ft,Sun;Part Shade,Clay;Loam,Low,Garden;Roof,Needs water in winter / spring.,,,,,100,350,350,800
287,Senecio hydrophilus,Marsh Ragwort,Perennial,Spring;Summer,4-6 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Garden,,,,,,350,600,350,800
288,Sequoia sempervirens,Redwood,Tree (evergreen),Summer;Fall,> 24 ft,Sun;Part Shade;Shade,Clay;Loam,Moderate,Garden,,,,,,350,600,0,800
289,Sisyrinchium bellum,Blue-eyed Grass,Perennial,Spring,1-3 ft,Sun;Part Shade,Clay;Loam,None,Garden;Roof,,,,,,0,0,350,800
290,Solidago californica,Goldenrod,Perennial,Summer;Fall,1-3 ft,Sun;Part Shade,Clay;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
291,Solidago spathulata,Dune Goldenrod,Perennial,Spring;Summer;Fall,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,None,Sidewalk;Garden,Attracts Monarch Butterfly (Danaus plexippus).,,,,,0,0,350,800
292,Stipa pulchra,Purple Needlegrass,Grass,Spring,1-3 ft,Sun;Part Shade,Clay;Loam,None,Garden;Roof,Indispensable.,,,,,0,0,350,800
293,Wyethia angustifolia,Narrowleaf Mule Ears,Perennial,Spring;Summer,1-3 ft,Sun;Part Shade,Clay;Loam,None,Garden,Attracts endangered Fender’s Blue Butterfly.,,,,,0,0,350,800
294,Thymus spp.,Thyme,Perennial,,1-3 ft,Sun,,Low,Garden,,,,,,100,350,500,800
295,Agrostis pallens,Bentgrass,Grass,Spring,1-3 ft,Sun;Part Shade,Clay;Loam,Low,Garden;Roof,,,,,,100,350,350,800
296,Artemisia douglasiana,Mugwort,Perennial,Summer;Fall,1-3 ft,Sun;Part Shade,Clay;Loam,Low,Garden;Roof,,,,,,100,350,350,800
297,Carex barbarae,Santa Barbara sedge,Grass,Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Garden,Good ground cover,,,,,350,600,350,800
298,Carpenteria californica,Bush Anemone,Shrub (evergreen),Summer,4-6 ft,Sun;Part Shade,Loam;Sand,Moderate,Sidewalk;Garden,CNPS Rare Plant; State listed as Threatened,,,,,350,600,350,800
299,Cercocarpus betuloides,Mountain mahogany,Shrub (evergreen),Spring,7-12 ft,Sun,Loam;Sand;Clay,None,Garden,,,,,,0,0,500,800
300,Narcissus hybrids,Daffodil or Narcissus,Perennial,,1-3 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
301,Dicentra formosa,Pacific bleeding heart,Perennial,Spring,< 1 ft,Part shade;Shade,Clay;Loam,Moderate,Garden,Good ground cover,,,,,350,600,,
302,Equisetum hyemale,Scouring Rush Horsetail,Perennial,Spring,1-3 ft,Part shade;Shade,Clay;Loam;Sand,Moderate,Garden,Prefers moist soils,,,,,350,600,,
303,Gaultheria shallon,Salal,Shrub (evergreen),Spring,1-3 ft,Part shade;Shade,Clay;Loam,Low,Garden,,,,,,100,350,,
304,Juglans hindsii,California black walnut,Tree (deciduous),Spring,> 24 ft,Sun,Clay;Loam,Low,Garden,,,,,,100,350,500,800
305,Juncus patens,Spreading rush,Grass,Spring,1-3 ft,Sun;Part shade,Clay;Loam;Sand,Low,Garden;Sidewalk;Roof,,,,,,100,350,,
306,Melica imperfecta,Coast range melic,Grass,Spring;Winter,1-3 ft,Sun;Part shade,Clay;Loam;Sand,None,Garden;Roof,,,,,,0,0,,
307,Mimulus cardinalis,Scarlet monkeyflower,Perennial,Spring;Summer,1-3 ft,Sun;Part shade,Clay;Loam,Moderate,Garden,,,,,,350,600,,
308,Mimulus guttatus,Creek monkeyflower,Perennial,Spring;Summer,1-3 ft,Sun;Part Shade;Shade,Clay;Loam,Moderate,Garden,Long blooming period,,,,,350,600,0,800
309,Oxalis oregana,Redwood sorrel,Perennial,Spring,1-3 ft,Shade,Loam;Clay,Low,Garden,Great understory ground cover,,,,,100,350,0,100
310,Panicum virgatum,Switchgrass,Grass,Summer;Fall;Winter,4-6 ft,Part Shade,Clay;Loam;Sand,Moderate,Garden,Seeds are good food source in winter,,,,,350,600,100,350
311,Philadelphus lewisii,Native mock orange,Shrub (deciduous),Spring;Summer,7-12 ft,Sun;Part shade,Clay;Loam,Low,Garden,,,,,,100,350,,
312,Physocarpus capitatus,Pacific ninebark,Shrub (deciduous),Spring;Summer,7-12 ft,Sun;Part shade;Shade,Clay;Loam,Low,Garden,,,,,,100,350,,
313,Prosartes hookeri,Hooker's fairy bells,Perennial,Spring;Summer,1-3 ft,Part shade;Shade,Clay;Loam,Low,Garden,,,,,,100,350,,
314,Quercus lobata,Valley oak,Tree (deciduous),Spring;Winter,> 24 ft,Sun,Clay;Loam,Low,Garden,,,,,,100,350,500,800
315,Ribes menziesii,Canyon gooseberry,Shrub (deciduous),Spring;Winter,4-6 ft,Sun;Part shade,Clay;Loam,None,Garden,,,,,,0,0,,
316,Ribes speciosum,Fuchsia-flowered gooseberry,Shrub (evergreen),Spring;Winter,7-12 ft,Sun;Part shade,Clay;Loam,None,Garden,,,,,,0,0,,
317,Salix laevigata,Red willow,Tree (deciduous),Spring,> 24 ft,Sun;Part shade,Clay;Loam,Moderate,Garden,,,,,,350,600,,
318,Sisyrinchium californicum,Yellow-eyed grass,Perennial,Spring;Summer,> 1 ft,Sun;Part shade,Clay;Loam,Moderate,Garden,prefers moist conditions,,,,,350,600,,
319,Solanum umbelliferum,Nightshade,Perennial,Spring;Summer;Winter,1-3 ft,Sun;Part shade,Clay;Loam,None,Garden,,,,,,0,0,,
320,Stipa lepida,Foothill needlegrass,Grass,Spring,1-3 ft,Sun,Clay;Loam,None,Garden;Roof,Good ground cover,,,,,0,0,500,800
321,Umbellularia californica,California bay laurel,Tree (evergreen),Spring,> 24 ft,Sun;Part shade;Shade,Clay;Loam,None,Garden,Attracts small mammals,,,,,0,0,,
322,Rosmarinus officinalis,Rosemary,Shrub (evergreen),Spring;Summer,1-3 ft,Sun,Clay;Loam,None,Sidewalk;Garden,Good ground cover,,,,,0,0,500,800
323,Arabis blepharophylla,Rock rose cress,Perennial,Spring,7-12 ft,Part Shade,Clay;Loam,Low,Sidewalk;Roof,Does well in a rock garden,,,,,100,350,100,350
324,Triteleia laxa,Ithuriel's Spear,Perennial,Spring;Summer,1-3 ft,Sun;Part shade,Clay;Loam,None,Garden;Sidewalk;Roof,,,,,,0,0,,
325,Carex tumulicola,Berkley sedge,Grass,Spring,1-3 ft,Part Shade,Clay;Loam,Low,Sidewalk;Garden,,,,,,100,350,100,350
326,Ceanothus gloriosus,Point Reyes Ceanothus,Shrub (evergreen),Spring;Winter,1-3 ft,Sun;Part shade,Clay;Loam;Sand,None,Sidewalk;Garden,,,,,,0,0,,
327,Cynoglossum grande,Hound's Tongue,Perennial,Spring,1-3 ft,Part shade;Shade,Clay;Loam,Low,Sidewalk;Garden,,,,,,100,350,,
328,Eriogonum fasciculatum,California Buckwheat,Shrub (evergreen),Spring;Summer;Fall,1-3 ft,Sun,Clay;Loam;Sand,None,Sidewalk;Garden,,,,,,0,0,500,800
329,Eriogonum giganteum,California Buckwheat;St. Catherine's Lace?,Shrub (evergreen),Spring;Summer,4-6 ft,Sun,Clay;Loam;Sand,None,Sidewalk;Garden,,,,,,0,0,500,800
330,Eriogonum umbellatum,Sulphurflower buckwheat,Perennial,Summer,1-3 ft,Sun,Clay;Loam;Sand,None,Roof;Sidewalk;Garden,,,,,,0,0,500,800
331,Juncus effusus,Common rush,Grass,Summer,1-3 ft,Sun;Part shade,Clay;Loam,Moderate,Sidewalk;Garden,Shelter for birds,,,,,350,600,,
332,Lathyrus vestitus,Wild Pea,Vine,Spring,7-12 ft,Sun;Part Shade,Clay;loam,Low,Garden;Sidewalk;Roof,Climbing,,,,,100,350,350,800
333,Leptosiphon grandiflorus,Large-flower linanthus,Annual,Spring,< 1 ft,Sun,Clay;Sand,None,Sidewalk;Garden;Roof,CNPS Rare Plant,,,,,0,0,500,800
334,Ribes aureum,Golden Currant,Shrub (deciduous),Spring,4-6 ft,Sun;Part shade,Clay;Loam;Sand,Low,Sidewalk;Garden,,,,,,100,350,,
335,Salvia mellifera,Black sage,Shrub (evergreen),Spring;Summer,4-6 ft,Sun;Part shade,Clay;Sand,None,Garden;Sidewalk;Roof,Groundcover;Good for erosion control,,,,,0,0,,
336,Nepeta cataria,Catnip,Perennial,Summer;Fall,1-3 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
337,Silene laciniata,California Indian Pink,Perennial,Summer,1-3 ft,Sun;Part shade,Clay;Sand,None,Garden;Sidewalk;Roof,,,,,,0,0,,
338,Lonicera hispidula,California Honeysuckle,Vine,Summer,7-12 ft,Sun;Part shade;Shade,Clay;Loam,Low,Garden;Roof,Climbing,,,,,100,350,,
339,Thuja occidentalis,American arborvitae,Tree (evergreen),Spring,Full Grown Tree,Sun;Part Shade;Shade,Clay;Loam,None,Garden,,,,,,0,0,0,800
340,Lavandula angustifolia 'Hidcote Superior',English Lavender,Shrub (evergreen),Summer;Fall,1-3 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
341,Lavandula 'Goodwin Creek Grey',Goodwin Creek Lavender,Shrub (evergreen),Spring;Summer;Fall;Winter,1-3 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
342,Lavandula stoechas 'Alba',Spanish White Lavender,Shrub (evergreen),Spring;Fall,1-3 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
343,Lavandula stoechas 'Willow Vale',Spanish Lavender,Shrub (evergreen),spring;summer,1-3 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
344,Lavandula dentata var. candicans,French Lavender,Shrub (evergreen),Spring;Summer;Fall;Winter,1-3 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
345,Leucadendron Salignum,Common Sunshine Conebush,Shrub (evergreen),Winter,4-6 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
346,Lupinus propinquus  ,Violet-flowered Lupine,Perennial,spring;summer,4-6 ft,Sun,,None,Sidewalk;Garden,,,,,,0,0,500,800
347,Malvastrum lateritium,Trailing mallow,Shrub (evergreen),Summer;Fall,< 1 ft,Sun,clay;loam,None,Sidewalk;Garden,,,,,,0,0,500,800
348,Muhlenbergia lindheimeri,Lindheimer's muhly grass,Grass,Fall;Winter,4-6 ft,Sun;Part Shade,Clay,None,Sidewalk;Garden,,,,,,0,0,350,800
349,Myoporum parvifolium,Myoporum,Shrub (evergreen),summer,< 1 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
350,Myrtus communis,Common Myrtle,Shrub (evergreen),Spring;Summer,4-6 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
351,Oenothera elata ssp. hirsutissima,Hairy Evening Primrose,Perennial,Summer;Fall,1-3 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
352,Pelargonium sidioides,Geranium,Perennial,Spring;Summer;Fall;Winter,< 1 ft,Sun;Part Shade,Sand;Loam,Low,Sidewalk;Garden,,,,,,100,350,350,800
353,Philotheca verrucosa 'Starbright',Fairy Wax Flower,Shrub (evergreen),Spring;Winter,4-6 ft,Sun;Shade,Clay;Loam;Sand;Rock,None,Sidewalk;Garden,,,,,,0,0,0,750
354,Phlomis lanata,Small Jerusalem Sage,Shrub (evergreen),Spring;Summer;Fall;Winter,1-3 ft,Sun,Clay;Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
355,Phormium 'Dusky Chief',New Zealand Flax,Perennial,,1-3 ft,Sun;Part Shade,Sand;Loam,Low,Sidewalk;Garden,,,,,,100,350,350,800
356,Phormium 'Jack Spratt',New Zealand Flax,Perennial,,1-3 ft,Sun;Part Shade,Sand;Loam,Low,Sidewalk;Garden,,,,,,100,350,350,800
357,Phormium 'Tiny Tiger',Dwarf Variegated New Zealand Flax,Perennial,Spring;Summer,< 1 ft,Sun;Shade,Sand;Loam,Low,Sidewalk;Garden,,,,,,100,350,0,750
358,Phormium 'Yellow Wave',New Zealand Flax,Perennial,,1-3 ft,Sun;Part Shade,Sand;Loam,Low,Sidewalk;Garden,,,,,,100,350,350,800
359,Phyla nodiflora,Turkey Tangle Fogfruit,Perennial,Spring;Summer;Fall,< 1 ft,Sun,Sand;Loam,Low,Sidewalk;Garden,,,,,,100,350,500,800
360,Plantago erecta,Prarie Plantain,Annual,Spring,< 1 ft,Sun,Clay;Sand,None,Garden;Sidewalk;Roof,,,,,,0,0,500,800
361,Potentilla fruticosa,Shrubby Cinquefoil,Shrub (evergreen),Summer;Fall,< 1 ft,Sun;Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,0,750
362,Rhagodia spinescens,Australian Thorny Saltbush,Shrub (evergreen),,1-3 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
363,Rhaphiolepis Indica 'Ballerina',Indian hawthorn,Shrub (evergreen),Spring;Fall,1-3 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
364,Rosmarinus officinalis 'Prostratus',"Prostrate Rosemary, Creeping Rosemary",Perennial,Summer;Fall,1-3 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
365,Rubus pentalobus,Bramble,Shrub (evergreen),Summer,< 1 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
366,Rudbeckia californica,California coneflower,Perennial,Summer;Fall,4-6 ft,Sun;Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,0,750
367,Salvia 'Bee's Bliss',Bee's Bliss Sage,Perennial,Spring,1-3 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
368,Salvia greggii 'Alba',Autumn Sage,Shrub (evergreen),Summer;Fall,1-3 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
369,Salvia greggii 'Salmon',Salmon Texas Sage,Shrub (evergreen),Spring;Fall,1-3 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
370,Salvia leucantha,"Mexican Bush Sage, Velvet Sage",Shrub (evergreen),Summer;Fall,4-6 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
371,Santolina chamaecyparissus,Lavender Cotton,Shrub (evergreen),Spring;Summer,1-3 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
372,Scilla peruviana    ,Peruvian Scilla,Perennial,Spring,< 1 ft,Sun;Part Shade,Sand;Loam,Low,Sidewalk;Garden,,,,,,100,350,350,800
373,Sedum pachyphyllum,Stonecrop,Succulent,Summer,1-3 ft,Sun,Sand;Loam,None,Roof;Sidewalk;Garden,,,,,,0,0,500,800
374,Sedum palmeri,Hens and Chicks,Succulent,Spring;Winter,< 1 ft,Sun;Shade,Sand;Loam,None,Roof;Sidewalk;Garden,,,,,,0,0,0,750
375,Sedum rubrotinctum,Pork and Beans,Succulent,Spring;Winter,< 1 ft,Part Shade,Sand;Loam,None,Garden;Sidewalk;Roof,,,,,,0,0,100,350
376,Silene californica ,California Indian Pink,Perennial,Spring;Summer,1-3 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
377,Sempervivum montanum,Houseleek,Succulent,Summer,< 1 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
378,Senecio amaniensis,Amani Senecio,Succulent,Summer,1-3 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
379,Senecio cineraria,Dusty Miller,Succulent,Spring;Summer;Fall;Winter,1-3 ft,Sun,Sand;Loam,Low,Sidewalk;Garden,,,,,,100,350,500,800
380,Senecio mandraliscae,Blue finger,Succulent,Summer,1-3 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,500,800
381,Senecio scaposus,,Succulent,Summer,< 1 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
382,Solanum jasminoides,Potato Vine,Vine,Summer;Fall,> 24 ft,Sun;Part Shade,Sand;Loam;Clay,None,Sidewalk;Garden,,,,,,0,0,350,800
383,Sollya heterophylla (Billardiera heterophylla),Australian Bluebell Creeper,Shrub (evergreen),Spring;Summer;Fall,1-3 ft,Part shade;Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,,
384,Stipa arundinacea,Feather Grass,Grass,Summer,1-3 ft,Sun,Sand;Loam;Clay,None,Sidewalk;Garden,,,,,,0,0,500,800
385,Tecomaria capensis,Cape Honeysuckle,Vine,Spring;Fall;Winter,13-24 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
386,Thymus serpyllum (var. 'Elfin'),Creeping Thyme,Perennial,Summer,< 1 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
387,Trifolium repens,White Clover,Perennial,Summer,< 1 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
388,Verbena lilacina 'De La Mina',Cedros Island Verbena,Perennial,Spring;summer,1-3 ft,Sun;Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,0,750
389,Penstemon heterophyllus varieties,Penstemon,Perennial,Spring;summer,1-3 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
390,Linaria purpurea,Purple Toadflax,Perennial,Spring;Summer;Fall;Winter,,Sun,Sand;Loam,None,Garden,,,,,,0,0,500,800
391,Rudbeckia hirta,Black-eyed Susan,Perennial,Spring;Summer;Fall;Winter,1-3 ft,Sun,Clay;Sand;Loam,None,Garden,,,,,,0,0,500,800
392,Salvia 'Indigo Spires',Indigo Spires sage,Perennial,Spring;Summer;Fall;Winter,1-3 ft,Sun;part shade,Sand;Loam,None,Garden,,,,,,0,0,,
393,Phacelia cicutaria,Caterpillar phacelia,Annual,Spring;Summer,1-3 ft,Sun,Sand;Loam,None,Garden,,,,,,0,0,500,800
394,Phacelia tanacetifolia,Tansy phacelia,Annual,Spring;Summer,1-3 ft,Sun,Sand;Loam,None,Garden,,,,,,0,0,500,800
395,Salvia brandegeei,Brandegee sage,Perennial,Spring;Summer;Fall;Winter,1-3 ft,Sun,Sand;Loam,None,Garden;Roof,,,,,,0,0,500,800
396,Salvia munzii,Munz's sage,Perennial,Spring;Summer;Fall;Winter,4-6 ft,Sun,Sand;Loam,None,Garden,,,,,,0,0,500,800
397,Phacelia distans,Distant phacelia,Annual,Spring;Summer,1-3 ft,Sun;Shade,Sand;Loam,None,Garden,,,,,,0,0,0,750
398,Phacelia viscida,Sticky phacelia,Annual,Spring;Summer,1-3 ft,Sun,Sand;Loam,None,Garden,,,,,,0,0,500,800
399,Bidens aurea,Arizona beggarticks,Perennial,Summer;Fall,1-3 ft,Sun,Sand;Loam,Low,Garden,,,,,,100,350,500,800
400,Gaillardia aristata,Blanket flower,Perennial,Summer;Fall,1-3 ft,Sun,Sand;Loam,None,Garden,,,,,,0,0,500,800
401,Helianthus annuus,Sunflower,Annual,Summer;Fall,1-3 ft,Sun,Sand;Loam,Low,Garden,,,,,,100,350,500,800
402,Salvia uliginosa,Bog sage,Perennial,Summer;Fall,1-3 ft,sun;part shade,Sand;Loam,Moderate,Garden,,,,,,350,600,,
403,Borago officinalis,Borage,Annual,Spring,1-3 ft,Sun;part shade,Sand;Loam,None,Garden,,,,,,0,0,,
404,Calendula spp.,Pot Marigold,Perennial,Spring,1-3 ft,Sun,Sand;Loam,None,Garden,,,,,,0,0,500,800
405,Chilopsis linearis,Desert Willow,Perennial,Spring,4-6 ft,Sun,Sand;Loam,Low,Garden,,,,,,100,350,500,800
406,Coreopsis verticillata,Whorled Tickseed,Perennial,Spring;summer,1-3 ft,Sun,Sand;Loam,None,Garden,,,,,,0,0,500,800
407,Echium plantagineum,Salvation Jane,Perennial,Spring,1-3 ft,Sun,Sand;Loam,None,Garden,,,,,,0,0,500,800
408,Encelia farinosa,Brittlebush,Perennial,Spring,1-3 ft,Sun,Sand;Loam,None,Garden,,,,,,0,0,500,800
409,Gilia achilleifolia,California Gilia,Annual,Spring,1-3 ft,Sun;Shade,Sand;Loam,None,Garden,,,,,,0,0,0,750
410,Helenium puberulum,Sneezeweed,Perennial,Spring,1-3 ft,Sun,Sand;Loam,Moderate,Garden,,,,,,350,600,500,800
411,Layia platyglossa,Tidytips,Annual,Spring,1-3 ft,Sun,Sand;Loam,None,Garden;Roof,,,,,,0,0,500,800
412,Mentzelia lindleyi,Blazing Star,Annual,Spring,1-3 ft,Sun,Sand;Loam,None,Garden,,,,,,0,0,500,800
413,Penstemon parryi,"Desert Penstemon, Parry's beardtongue",Perennial,Spring,1-3 ft,Sun;Shade,Clay;Loam;Sand;Rock,None,Garden,,,,,,0,0,0,750
414,Phacelia grandiflora,Large-flower phacelia,Annual,Spring,1-3 ft,Sun,Loam;Sand,None,Garden,,,,,,0,0,500,800
415,Schoenoplectus maritimus,Prairie bulrush,Grass,Fall,4-6 ft,Sun,Clay;Loam;Sand,Moderate,Garden,,,,,,350,600,500,800
416,Santolina spp.,santolina,Shrub (evergreen),Summer,1-3 ft,Sun,Clay;Loam;Sand,Low,Garden,,,,,,100,350,500,800
417,Poa unilateralis,San Francisco bluegrass,Grass,Spring,1-3 ft,Sun,Clay;Loam;Sand,Low,Garden,,,,,,100,350,500,800
418,Platanus racemosa,California sycamore,Tree (deciduous),Spring;Winter,Full Grown Tree,Sun,Clay;Loam;Sand,Moderate,Garden,,,,,,350,600,500,800
419,Platanus occidentalis,American sycamore,Tree (deciduous),Spring,Full Grown Tree,Sun,Clay;Loam;Sand,Low,Garden,,,,,,100,350,500,800
420,Plantago subnuda,tall coastal plantain,Perennial,Spring;Summer,1-3 ft,Sun;Part Shade,Clay;Loam,Moderate,Garden,,,,,,350,600,350,800
421,Pellaea andromedifolia,coffee fern,Fern,,1-3 ft,Sun,Sand,None,Garden,,,,,,0,0,500,800
422,Nyssa sylvatica,"tupelo, black gum",Tree (deciduous),Spring;summer,Full Grown Tree,Sun;Part Shade;Shade,Loam;Sand,Moderate,Garden,,,,,,350,600,0,800
423,Nepeta spp.,catmint,Perennial,Summer;Fall,1-3 ft,Sun,Clay;Loam;Sand,Low,Garden,,,,,,100,350,500,800
424,Morus alba,White mulberry,Tree (deciduous),Spring,Full Grown Tree,Sun,Loam;Sand,Moderate,Garden,,,,,,350,600,500,800
